                                                    -4.1  -4.0  -3.0  -2.1  -2.0  -1.0  -0.1   0.0   1.0   2.0   3.0   4.0   5.0   6.0   7.0   8.0   9.0  10.0  11.0  12.0  13.0  14.0  15.0  16.0  17.0  18.0  19.0  20.0  21.0  22.0

S0       GENL. RES.               STRUCTURE            0     0     0     0     0     0     0    10    21    28    34    43    48    51    54    58    61    63    65    69    71    75    79    82    83    84    85    85    85    85
C0       GENL. RES.               CONTENTS             0     0     0     0     0     0     0     7    38    55    66    73    78    82    84    87    88    88    88    89    90    93    96    99   100   100   100   100   100   100
S1       1 STORY RES.             STRUCTURE            0     0     0     0     0     0     0    10    21    27    32    37    43    46    50    54    58    60    63    67    70    74    79    82    83    84    85    85    85    85
C1       1 STORY RES.             CONTENTS             0     0     0     0     0     0     0     8    42    60    71    77    82    85    86    87    88    88    88    89    90    93    96   100   100   100   100   100   100   100
S2       1-1/2 STORY RES.         STRUCTURE            0     0     0     0     0     0     0    10    28    35    41    43    46    48    49    50    50    50    51    51    52    53    55    57    58    60    62    64    67    70
C2       1-1/2 STORY RES.         CONTENTS             0     0     0     0     0     0     0     2    22    36    45    57    66    71    77    79    82    84    86    87    89    90    91    92    92    92    93    95    96    97
S3       2 STORY RES.             STRUCTURE            0     0     0     0     0     0     0     5    21    27    31    34    37    39    40    40    42    44    47    49    52    55    58    60    63    65    68    70    72    74
C3       2 STORY RES.             CONTENTS             0     0     0     0     0     0     0     4    24    34    40    47    53    56    58    58    58    61    66    68    76    81    86    90   100   100   100   100   100   100
S4       MOBILE RES.              STRUCTURE            0     0     0     0     5     5     5    14    19    31    54    93    96    96    97    97    97    98    98    98    98    98    98    98    98    98    98    98    98    98
C4       MOBILE RES.              CONTENTS             0     0     0     0     0     0     0     3    23    36    43    55    66    78    86   100   100   100   100   100   100   100   100   100   100   100   100   100   100   100
S5       HIGH RISE RES.           STRUCTURE            0     0     0     0     0     0     0     0     1     2     3     5     7     8    10    12    18    28    41    48    52    56    57    58    58    59    60    62    65    70
C5       HIGH RISE RES.           CONTENTS             0     0     0     0     0     0     0     1     2     5     8    10    12    13    13    14    26    38    52    64    78    84    88    91    93    95    96    98    99   100
